,(Intercept),TimeC,TimeE,Fw_dist_km,TimeC:Fw_dist_km,TimeE:Fw_dist_km
97,7.15E-15,2.627470819,2.71E-15,6.84E-17,-0.392947645,-3.05E-16
93,2.58E-14,-29.68448876,1.27E-14,2.74E-16,2.915702262,-1.21E-15
40,0.01436823,-0.01436823,-0.01436823,1.30E-05,-1.30E-05,-1.30E-05
43,0.052301369,-0.052301369,-0.052301369,4.74E-05,-4.74E-05,-4.74E-05
48,0.128167645,-0.128167645,-0.128167645,0.000116241,-0.000116241,-0.000116241
7,-0.001434733,0.001434733,0.001434733,0.000138616,-0.000138616,-0.000138616
38,0.153456404,-0.153456404,-0.153456404,0.000139177,-0.000139177,-0.000139177
42,0.254611439,-0.254611439,-0.254611439,0.000230919,-0.000230919,-0.000230919
39,0.292544577,-0.292544577,-0.292544577,0.000265322,-0.000265322,-0.000265322
259,-1.92E-16,-3.06E-17,-0.309949877,1.81E-17,-2.76E-17,-0.000281108
37,0.317833336,-0.317833336,-0.317833336,0.000288258,-0.000288258,-0.000288258
73,-0.009752859,0.009752859,0.009752859,0.000485299,-0.000485299,-0.000485299
45,0.747742236,-0.747742236,-0.747742236,0.000678163,-0.000678163,-0.000678163
36,0.823608513,-0.823608513,-0.823608513,0.000746969,-0.000746969,-0.000746969
47,0.899474789,-0.899474789,-0.899474789,0.000815776,-0.000815776,-0.000815776
260,-1.75E-15,2.45E-16,-1.359433367,-5.12E-17,1.47E-17,-0.001232934
267,-2.77E-15,2.08E-15,-1.662898473,-8.74E-17,4.96E-17,-0.001508161
261,-1.23E-15,-1.84E-15,-1.751409129,8.98E-18,3.67E-18,-0.001588436
49,-0.051486673,0.051486673,0.051486673,0.002162499,-0.002162499,-0.002162499
74,-0.121420672,0.121420672,0.121420672,0.006041848,-0.006041848,-0.006041848
53,-0.233597329,0.233597329,0.233597329,0.009811353,-0.009811353,-0.009811353
14,-0.109911046,0.109911046,0.109911046,0.010618979,-0.010618979,-0.010618979
6,-0.109911046,0.109911046,0.109911046,0.010618979,-0.010618979,-0.010618979
75,-0.233088484,0.233088484,0.233088484,0.011598398,-0.011598398,-0.011598398
61,-0.306441591,0.306441591,0.306441591,0.012870895,-0.012870895,-0.012870895
16,-0.137030125,0.137030125,0.137030125,0.01323907,-0.01323907,-0.01323907
78,-0.288922391,0.288922391,0.288922391,0.014376673,-0.014376673,-0.014376673
