"","(Intercept)","TimeC","TimeE","Fw_dist_km","TimeC:Fw_dist_km","TimeE:Fw_dist_km"
"46",-0.00982318753285375,0.00982318753285376,0.00982318753285376,-8.90911258194388e-06,8.90911258194328e-06,8.90911258194373e-06
"47",-0.0136234781828225,0.0136234781828225,0.0136234781828225,-1.23557756056765e-05,1.23557756056769e-05,1.23557756056758e-05
"48",0.0104014863823901,-0.0104014863823902,-0.0104014863823901,9.43359911335641e-06,-9.43359911335543e-06,-9.43359911335466e-06
"49",-0.00947146751370717,0.00947146751370717,0.00947146751370719,0.000397812384214519,-0.000397812384214518,-0.000397812384214519
"50",-0.0313533418653955,0.0313533418653956,0.0313533418653956,0.00131687593950095,-0.00131687593950095,-0.00131687593950096
"51",-0.0478815512641057,0.0478815512641058,0.0478815512641058,0.00201107949118733,-0.00201107949118733,-0.00201107949118734
"52",0.00789054189726933,-0.00789054189726934,-0.00789054189726934,-0.000331411714220056,0.000331411714220056,0.000331411714220056
"53",-0.0198031574782017,0.0198031574782017,0.0198031574782018,0.00083175508758046,-0.000831755087580461,-0.000831755087580463
"54",-0.0130278372029778,0.0130278372029778,0.0130278372029778,0.000547183947088965,-0.000547183947088966,-0.000547183947088966
"55",-0.0386446968686271,0.0386446968686271,0.0386446968686272,0.00162312112418772,-0.00162312112418772,-0.00162312112418773
"56",-0.0277118584996645,0.0277118584996645,0.0277118584996645,0.00116392950562442,-0.00116392950562442,-0.00116392950562442
"57",-0.0491850801815523,0.0491850801815524,0.0491850801815525,0.00206582918502216,-0.00206582918502216,-0.00206582918502217
"58",0.0481064273365384,-0.0481064273365385,-0.0481064273365384,-0.00202052454142879,0.00202052454142879,0.00202052454142879
"59",0.0534994984859211,-0.0534994984859211,-0.0534994984859212,-0.00224703964999771,0.00224703964999772,0.00224703964999772
"60",0.116105173382757,-0.116105173382756,-0.116105173382757,-0.0048765490433442,0.00487654904334419,0.00487654904334421
"61",0.0482498372563707,-0.0482498372563708,-0.0482498372563707,-0.00202654792080964,0.00202654792080964,0.00202654792080964
"62",0.0182023280047745,-0.0182023280047746,-0.0182023280047746,-0.000764518433004671,0.000764518433004673,0.000764518433004673
"63",0.031473384918895,-0.0314733849188951,-0.0314733849188951,-0.00132191788397808,0.00132191788397808,0.00132191788397808
"64",0.0153109984953594,-0.0153109984953595,-0.0153109984953595,-0.000643079312401064,0.000643079312401067,0.000643079312401066
"65",-0.00830222789196314,0.00830222789196314,0.00830222789196314,0.000413115835055937,-0.000413115835055936,-0.000413115835055936
"66",0.0693659160630616,-0.0693659160630616,-0.0693659160630616,-0.00345162271039945,0.00345162271039944,0.00345162271039945
