site,dfAI,dfw,area.ha,area,salinity,shoot.density,epiphytes,fetch.meters
BE,19.4,9.4,0.12,0.1,23.5,7,0.18,58973
BI,5,5,0.61,0.4,15.7,5.5,0.67,51587
CB,5.8,5.8,1.02,0.5,16.36666667,6.5,0.14,24845
CC,2.2,2.2,0.95,0.25,15.8,6,0.08,29414
DC,24.4,14.4,4.34,2.3,24.86666667,14.75,0.28,32046
EI,19,9,0.76,0.25,21.5,12.5,0.14,97169
NB,10,1,11.33,2.7,15.66666667,8.25,0.36,68719
RP,15.4,5.4,2.41,0.72,21.1,10.25,0.18,50551
WI,20.6,10.6,0.63,0.26,20.96666667,7,0.3,191429
